Brewery,Location,Est. Year
 Mutiny Brewing Company,Joseph,2010
 Natian Brewery,Portland,2010
 Ninkasi Brewing Company,Eugene,2006
 North Rim Brewing,Bend,2014
 Oakshire Brewing,Eugene,2006
 Oblivion Brewing Company,Bend,2014
 Occidental Brewing,Portland,2011
 Ochoco Brewing Company,Prineville,2013
 Old 99 Brewing Company,Roseburg,2013
 Old Market Pub and Brewery,Portland,1994
 Old Mill Brew Wërks Brewing,Bend,2012
 Old Town Brewing,Portland,2012
 Omission Brewing Co. (Craft Brew Alliance),Portland,2013
 Opposition Brewing Company,Medford,2012
 Ordnance Brewing,Boardman,2015
 Oregon City Brewing Company,Oregon City,2015
 Oregon Trail Brewery,Corvallis,1996
 Panty Dropper Ale,Aloha,2010
 Pelican Brewing Company,Pacific City,2001
 pFriem Family Brewers,Hood River,2012
 Pints Brewing Company,Portland,2012
 Plank Town Brewing Company,Springfield,2013
 Pono Brewing Company,Portland,2017
 Portal Brewing Company,Medford,2014
 Portland U-Brew & Pub,Portland,2013
 Prodigal Son Brewery,Pendleton,2010
 Public Coast Brewing Co,Cannon Beach,2016
 Rat Hole Brewing,Sunriver,2013
 Ratchet Brewery,Salem,2017
 Reach Break Brewing,Astoria,2017
 Red Ox Brewing,Tigard,2014
 Ridgewalker Brewing,Forest Grove,2016
 Riverbend Brewing,Bend,2013
 Rock Bottom Portland,Portland,2004
 Rogue Ales,Newport,1988
 Rogue Eastside Pub & Pilot Brewery - Green Dragon Brew Crew,Portland,2009
 Rosenstadt Brewery,Portland,2015
 Royale Brewing Company,Portland,2015
 Running Dogs Brewery,St Helens,2016
 Ruse Brewing,Portland,2016
 Rusty Bucket Brewing,Medford,2014
 Rusty Truck Brewing / Roadhouse 101,Lincoln City,2012
 Salem Ale Works,Salem,2013
 Salud Brewery and Food Truck,Roseburg,2017
 Sam Bond's Brewing Company,Eugene,2014
 Sandy River Brewery & Public House,Sandy,2012
 Santiam Brewing Company,Salem,2012
 Sasquatch Brewing Company,Portland,2012
 Scout Brewing,Portland,2015
 Seaside Brewing Company,Seaside,2013
 Second Profession Brewing,Portland,2018
 Sedition Brewing Company,The Dalles,2016
 Seven Brides Brewing Company,Silverton,2008
 Shade Tree Brewing,Redmond,2013
 Shattered Oak Brewing,Oregon City,2016
 Short Snout Brewing,Milwaukie,2012
 Side A Brewing,La Grande,2017
 Silver Falls Brewery,Silverton,2017
 Silver Moon Brewing,Bend,2005
 Siuslaw Brewing,Alsea,2017
 Sky High Brewing & Pub,Corvallis,2013
 Smith Rock Brewing Company,Redmond,2013
 Solera Brewery,Parkdale,2012
 Splash Brew Company,Portland,2015
 Standing Stone Brewing Company,Ashland,2001
 Steelhead Brewing Co.,Eugene,1991
 Steens Mountain Brewing,Burns,2015
 Stickmen Brewing Company,Lake Oswego,2013
 Stormbreaker Brewing,Portland,2014
 Sunriver Brewing Company,Sunriver,2012
 Swing Tree Brewing Company,Ashland,2013
 Tandem Brewing Company,Ontario,2015
 Terminal Gravity Brewing Company,Enterprise,2002
 The Ale Apothecary,Bend,2012
 The Horn Public House & Brewery,Depoe Bay,2017
 The Wheel Apizza Pub,Eugene,2018
 Three Creeks Brewing Co.,Sisters,2008
 Three Mugs Brewing Company,Hillsboro,2014
 Thunder Island Brewing Company,Cascade Locks,2013
 Tiger Town Brewing Company,Mitchell,2018
 Tight Lines Brewery,Brookings,2013
" TrainWreck Brewing, Inc",Portland,2016
 Tuebor Beer Company,Portland,2016
 Two Kilts Brewing Company,Sherwood,2011
 Two Shy Brewing Company,Roseburg,2013
 Upright Brewing,Portland,2009
 Uptown Market Brewing,Portland,2014
 Vagabond Brewing,Salem,2014
 Vanguard Brewing Company,Wilsonville,2015
 Vertigo Brewing,Hillsboro,2008
 Von Ebert Brewing,Portland ,2018
 Walkabout Brewing,Central Point,2003
 Waltz Brewing Company,Forest Grove,2014
 Way Out West Brewing Company,Bend,2017
 Wayfinder Beer,Portland,2016
 Werner Brewing Company,Tillamook,2017
 Whiskyback,Portland,2018
 Widmer Brothers Brewing Company  (Craft Brew Alliance),Portland,1984
 Wild Ride Brewing,Redmond,2014
 Wild River Brewing Company,Grants Pass,2001
 Wolf Tree Brewery,Seal Rock,2014
 Wolves & People Farmhouse Brewery,Newberg,2014
 Worthy Brewing Company,Bend,2013
 Xicha Brewing,Salem,2017
 Yachats Brewing,Yachats,2015
 Zoiglhaus Brewing Company,Portland,2015
