Brewery,Location,Est. Year
 Hoh River Brewery,Tumwater,2014
 Holy Mountain Brewing Company,Seattle,2014
 Hood Canal Brewery,Kingston,1996
 Hop Nation Brewing Company,Yakima,2015
 Hopped Up Brewing Company,Spokane,2013
 Hoquiam Brewing Company,Hoquiam,2018
 Horse Heaven Hills Brewery,Prosser,2009
 Ice Harbor Brewing Company,Kennewick,1996
 Icicle Brewing Company,Leavenworth,2011
 Illuminati Brewing,Bellingham,2017
 Iron Goat Brewing,Spokane,2012
 Iron Horse Brewery,Ellensburg,2005
 Island Hoppin' Brewery,Eastsound,2011
 Issaquah Brew House (Rogue Ales),Issaquah,1995
 ITS (In The Shadow) Brewing,Granite Falls,2015
 Jellyfish Brewing Company,Seattle,2017
 Justice Brewing,Everett,2012
 Kirkland Signature / Costco Wholesale Corporation,Issaquah,2014
 Kulshan Brewing Company,Bellingham,2012
 LaConner Brewing Company,LaConner,2002
 Laht Neppur Brewing Co.,Waitsburg,2006
 Lake Chelan Brewery,Manson,2013
 Lake Stevens Brewing Company,Lake Stevens,2012
 Lake Tapps Brewing Company,Sumner,2014
 Lantern Brewing Company,Seattle,2011
 Lazy Boy Brewing,Everett,2006
 Liquid Beer Company,Seattle,2018
 Little Spokane Brewing Company,Spokane,2016
 Loowit Brewing Company,Vancouver,2012
 Lopez Island Brewing Company,Lopez Island,2016
 Lost Bear Brews,Woodinville,2018
 Lost Canoe Brewing Company,Snohomish,2017
 Lost Falls Brewery,Colville,2009
 LoveCraft Brewing Company,Bremerton,2016
 Lowercase Brewing,Seattle,2014
 Lucky Envelope Brewing,Seattle,2015
 Lumber House Brewery,Maple Valley,2015
 M.T. Head Brewing Co,Graham,2009
 Mac and Jack's Brewing Company,Redmond,2001
 Machine House Brewery,Seattle,2013
 Maelstrom Brewing Company,Kirkland,2017
 Manfish Brewing,Renton,2017
 Maritime Pacific Brewing Co.,Seattle,1990
 Matchless Brewing,Tumwater,2016
 Menace Brewing,Bellingham,2013
 Methow Valley Brewing Company,Twisp,2004
 Middleton Brewing (WA),Everett,2013
 Mike's Hard Beverage Co.,Seattle,1999
 Milepost 111 Brewing Company,Cashmere,2013
 Mill City Brew Werks,Camas,2013
 Mill Creek Brewpub,Walla Walla,1998
 Mirage Beer Company,Seattle,2017
 Mollusk Brewing,Seattle,2015
 Monka Brewing,Shoreline,2018
 Mountain Lakes Brewing Company,Spokane,2018
 Mt. Index Brewery and Distillery,Index,2015
 Mt. Tabor Brewing,Vancouver,2011
 Mule & Elk Brewing Company,Cle Elum,2016
 Naked City Brewing,Seattle,2008
 Narrows Brewing Company,Tacoma,2013
 New School Brewing Company,Richland,2015
 Nine Yards Brewing,Kenmore,2015
 No Boat Brewing Company,Snoqualmie,2016
 No-Li Brewhouse,Spokane,2003
 North 47 Brewing Company,Tacoma,2015
 North Fork Brewery/Pizza/Beer Shrine,Deming,1997
 North Jetty Brewing,Seaview,2014
 North Pacific Brewing Company,,2016
 North Sound Brewing Company,Mount Vernon,2010
 Northern Ales,Kettle Falls,2008
 Northwest Brewing Company,Tukwila,2007
 Northwood Public House & Brewery,Battle Ground,2014
 Nosdunk Brewing Company,Walla Walla,2013
 NW Peaks Brewery (Northwest Peaks),Seattle,2011
 Obec Brewing,Seattle,2017
 Odd Otter Brewing Company,Tacoma,2014
 Odin Brewing Company,Tukwila,2009
 Old Ivy Brewery,Vancouver,2015
 Old Opera Brewing Company,Walla Walla,2017
 Old Rock Brewery,Duvall,2013
 Old Schoolhouse Brewery,Winthrop,1993
 Old Stove Brewery,Seattle,2016
 Olympic Range Brewing,Seattle,2016
 Optimism Brewing Company,Seattle,2015
 Orlison Brewing Company,Airway Heights,2009
 Outer Planet Craft Brewing,Seattle,2015
 Outlander Brewery & Pub,Seattle,2012
 Outlaw Ales,Edgewood,2015
 Pacific Brewing & Malting Company,Tacoma,2014
 Paper Street Brewing Company,Richland,2016
 Paradise Creek Brewery,Pullman,2010
 Parker's Steakhouse & Brewery,Longview,2013
 Peddler Brewing Company,Seattle,2013
 Perihelion Brewery,Seattle,2016
 Perry Street Brewing,Spokane,2014
 Pike Brewing Company,Seattle,1989
 Populuxe Brewing Company,Seattle,2013
 Port Townsend Brewing Company,Port Townsend,2001
 Postdoc Brewing,Redmond,2014
 Powerhouse Restaurant & Brewery,Puyallup,2005
 Premium Northwest,Seattle,2017
 Prison Break Brewing,Snohomish,2016
 Propolis Brewing,Port Townsend,2013
 Puyallup River Brewing Company,Puyallup,2012
 Pyramid Breweries (Cervecería Costa Rica - FIFCO),Seattle,1984
 Quartzite Brewing Company,Chewelah,2016
 Quirk Brewing,Walla Walla,2016
 Rail Hop'n Brewing Company,Auburn,2017
 Railside Brewing,Vancouver,2012
 Rainy Daze Brewing,Poulsbo,2012
 Rattlesnake Mountain Brewing Company,Richland,1999
 Ravenna Brewing Company,Seattle,2015
 Redhook Brewery  (Craft Brew Alliance),Woodinville,1982
 Republic Brewing Company,Republic,2011
 Resonate Brewery & Pizzeria,Bellevue,2015
 Reuben's Brews,Seattle,2012
 River City Brewing Company (Washington),Spokane,2013
 River Mile 38 Brewing Company,Cathlamet,2014
 River Time Brewing,Darrington,2014
 Riverport Brewing Co.,Clarkston,2008
 Rockfish Grill & Anacortes Brewery,Anacortes,2002
 Rocky Coulee Brewery,Odessa,2007
 Rooftop Brewing Company,Seattle,2013
 Roslyn Brewing Company,Roslyn,1990
 Rusty Hop Brewing Company,Battle Ground,2012
 Salish Sea Brewing Company,Edmonds,2013
 San Juan Island Brewing Co.,Firday Harbor,2018
 Scamp Brewing Company,Auburn,2017
 Schooner Exact Brewing Co.,Seattle,2007
 Scrappy Punk Brewing Company,Snohomish,2017
 Scuttlebutt Brewing Co.,Everett,1996
 Seapine Brewing Company,Seattle,2012
 Shrub Steppe Smokehouse Brewery,Richland,2012
 Silver City Brewery,Bremerton,2010
 Silverleaf Brewery,Kenmore,2015
 Single Hill Brewing Company,Yakima,2018
 Skagit River Brewing Co.,Mount Vernon,1999
 Skookum Brewery,Arlington,2007
 Slaughter County Brewing Company,Port Orchard,2012
 Slippery Pig Brewery,Poulsbo,2011
 Sluggo Brewing,Tacoma,2016
 Smitty's Brewing,Bremerton,2016
 Snipes Mountain Microbrewery,Sunnyside,2000
 Snoqualmie Falls Brewing Company,Snoqualmie,1997
 SnoTown Brewery,Snohomish,2014
 Sound Brewery,Poulsbo,2011
 Sound to Summit Brewing,Snohomish,2015
 Spada Farmhouse Brewery,Snohomish,2017
 Spinnaker Bay Brewing (NW Peaks Brewery),Seattle,2013
 Square Wheel Brewing Company,Spokane,2017
 Standard Brewing,Seattle,2013
 Steam Donkey Brewing,Aberdeen,2018
 Steam Plant,Spokane,2013
 Stones Throw Brewing Company (WA),Bellingham,2015
 Stormy Mountain Brewing,Chelan,2016
 Stoup Brewing,Seattle,2013
 Structures Brewing Company,Bellingham,2015
 Sumerian Brewing Company,Woodinville,2015
 Swinnerton Brewery,Marysville,2016
 Tacoma Brewing Company,Tacoma,2012
 Task Force Brewing,Lakewood,2018
 Ten Pin Brewing Company,Moses Lake,2013
 The Good Brewing Company,Woodinville,2017
 The Hidden Mother Brewery,Liberty Lake,2018
 The Hop Crew Brewing,Sequim,2014
 The Rock Wood Fired Pizza & Brewery,Tacoma,2003
 Thirsty Crab Brewery,Woodinville,2016
 Three Bull Brewing,Snohomish,2017
 Three Magnets Brewing,Olympia,2014
 Tin Dog Brewing,Seattle,2014
 Top Frog Brewery,Newport,2014
 Top Rung Brewing Company,Lacey,2014
 Trap Door Brewing,Vancouver,2015
 Triceratops Brewing,Tumwater,2014
 Triple R Brewing,Seattle,2014
 Triplehorn Brewing Company,Woodinville,2012
 Trusty Brewing Company,Vancouver,2016
 TT's Old Iron Brewery,Spokane,2017
 Twelve String Brewing Company,Spokane Valley,2011
 Twin Rivers Brewing/Adam's Northwest Bistro,Monroe,1995
 Twin Sisters Brewing,Bellingham,2018
 Two Beers Brewing Co. (Eclor-Agrial),Seattle,2008
