Brewery,Location,Est. Year
 Shady Oak Barrel House,Santa Rosa,2014
 Shanghai Beer Garden,Ventura,2014
 Shanty Irish Brewing Company (Rooney's),Orcutt,2013
 Shanty Shack Brewing,Santa Cruz,2017
 SHE Beverage Company,Lancaster,2015
 Shire Reeve Brewing Company,Anaheim,2011
 Sidellis Lake Tahoe Brewery and Restaurant,South Lake Tahoe,2016
 Sierra Nevada Brewing Company,Chico,1981
 Silva Brewing,Paso Robles,2015
 Simmzy's,Burbank,2017
 Simpleton Craft Ales,San Francisco,2015
 Six Rivers Brewery,McKinleyville,1996
 Skyland Ale Works,Corona,2014
 Skyscraper Brewing Company,El Monte,2007
 SLO Brew,San Luis Obispo,1988
 Smog City Brewing,Torrance,2011
 Smoking Cannon Brewery,Ramona,2017
 Snowshoe Brewing Company,Arnold,1995
 SoCal Beer Company,Tarzana,2010
 Social Kitchen & Brewery,San Francisco,2010
 Societe Brewing Company,San Diego,2012
 Solarc Beer Company,Vernon,2015
 Solid Ground Brewing,Diamond Springs,2018
 Solvang Brewing Company,Solvang,2011
 Sonoma Springs Brewing Company,Sonoma,2009
 Sons of Liberty Aleworks,Norco,2012
 Soquel Fermentation Project,Los Gatos,2018
 Sour Cellars,Rancho Cucamonga ,2017
 South Gate Brewing,Oakhurst,2013
 South Lake Brewing Company,South Lake Tahoe,2017
 South Park Brewing (CA),San Diego,2015
 Southern Pacific Brewing,San Francisco,2012
 SouthNorte Beer Company,San Diego,2017
 Southpaw BBQ and Southern Cooking,San Francisco,2012
 Speakeasy Ales and Lagers,San Francisco,2000
 SpecHops Brewing,Vista,2017
 SR76 Beerworks,Valley Center,2016
 St. Florian's Brewery,Windsor,2013
 St. Stans Brewing Company,Modesto,1985
 Stadium Brewing Company,Aliso Viejo,2004
 Stadium Pizza,Wildomar,2013
 Standard Deviant Brewing,San Francisco,2016
 Stash Brewing Company,Garden Valley,2017
 State Brewing Company,Gardena,2017
 State Room Brewery,San Rafael,2017
 Stateline Brewery,South Lake Tahoe,2009
 Steel Bonnet Brewing Company,Scotts Valley,2015
 Steele & Hops Public House,Santa Rosa,2017
 Stereo Brewing Company,Placentia,2016
 Stone Brewing,Escondido,1996
 Stone Brewing - Liberty Station,San Diego,2013
 Stone Church Brewing (CA),Corona,2016
 Strand Brewing Company,Torrance,2009
 Strike Brewing Company,San Jose,2011
 Strum Brewing,Ontario,2016
 Stumblefoot Brewing Company,San Marcos,2012
 Stumptown Brewery,Guerneville,1996
 Sudwerk Brewing Company,Davis,1990
 Sufferfest Beer Company,San Francisco,2016
 Sundowner Brewery,Westlake Village,2013
 Sunset Reservoir Brewing Company,San Francisco,2015
 Super Owl Brewing,Davis,2017
 Surf Brewery,Ventura,2011
 Sutter Buttes Brewing Company,Yuba City,2010
 T.W. Pitchers Brewing Company,San Francisco,2015
 Tactical Ops Brewing,Clovis,2014
 Tahoe Mountain Brewing Company,Tahoe City,2013
 Tannery Bend Beerworks,Napa,2017
 Tap It Brewing Company,San Luis Obispo,2011
 Taplands,Santa Clara,2016
 Taps Fish House and Brewery,Brea,1999
 Tarla Mediterranean Bar + Grill,Napa,2018
 Tehachapi Mountain Pub and Brewery,Tehachapi,2013
 Telegraph Brewing (Epic Brewing UT/CO),Santa Barbara,2006
 Temblor Brewing Company,Bakersfield,2016
 Temescal Brewing,Oakland,2016
 Tent City Beer Company,Atascadero,2012
 The Academy of Fine Beers,El Monte,2008
 The Barn Brewery,San Diego,2015
 The Bell Marker Brewery & Kitchen,San Diego,2018
 The Booth Brewing Co. US,Eureka,2017
 The Brew House at Eastlake,Chula Vista,2008
 The Brewery at Abigaile,Hermosa Beach,2012
 The Brewery at Lake Tahoe,South Lake Tahoe,2002
 The Brewhouse (California),Santa Barbara,2004
 The Brewing Lair,Blairsden,2012
 The Bruery,Placentia,2008
 The Dudes,Torrance,2013
 The Gentleman Scholar,Los Angeles,2009
 The Good Beer Company,Santa Ana,2014
 The Great Beer Company,Chatsworth,2010
 The Hop Concept,San Marcos,2015
 The Lab Brewing Company,Agoura Hills,2011
 The Rare Barrel,Berkeley,2013
 Third Street Aleworks,Santa Rosa,2000
 Third Window Brewing,Santa Barbara,2016
 Thirsty Bear Brewing Company,San Francisco,1995
 Thompson Brewing Company,Riverside,2013
 Thorn Street Brewery,San Diego,2012
 Thr3e Punk Ales Brewing Company,Chula Vista,2017
 Three Forks Bakery & Brewing Company,Nevada City,2015
 Three Mile Brewing Company,Davis,2016
 Three Monkeys Brewing Company,Madera,2011
 Three Rivers Brewing Co.,Three Rivers ,2018
 Three Weavers Brewing Company,Inglewood,2014
 Thunderhawk Alements,San Diego,2016
 Tied House Brewing,Mountain View,1987
 Tilt Brewing Company,San Jose,2017
 Tilted Mash Brewing,Elk Grove,2016
 Timeless Pints Brewing Company,Lakewood,2013
 Tioga-Sequoia Brewing Company,Fresno,2010
 Toolbox Brewing Company,Vista,2014
 Topa Topa Brewing Company,Ventura,2015
 Toro Creek Brewing Company,Atascadero,2015
 Towne Park Brew,Anaheim,2018
 Track 7 Brewing Company,Sacramento,2011
 Trade Brewing,Napa,2018
 Trader Joe's (Steinhaus Brewing / JosephsBrau),Monrovia,2015
 Transplants Brewing Company,Palmdale,2016
 Triple Rock Brewery & Alehouse,Berkeley,1985
 Triple Voodoo Brewing,San Francisco,2011
 Truckee Brewing Company,Truckee,2018
 True Symmetry Brewing Company,Suisun City,2018
 Trumer Brauerei (US),Berkeley,2007
 Tustin Brewing Company,Tustin,2002
 Ukiah Brewing Company,Ukiah,2000
 Umunhum Brewing Co-Op,San Jose,2016
 Uncle Sam's Misguided Brewery,Livermore,2014
 Uncommon Brewers,Santa Cruz,2008
 United Brands Company,Los Angeles,2009
 Unsung Brewing Company,Tustin,2016
 Uproar Brewing Company,San Jose,2017
 Urban Roots Brewing & Smokehouse,Sacramento,2018
 Valiant Brewing,Orange,2013
 Venice Ale House,Venice,2013
 Venice Beach Beer Company,Venice,2015
 Venice Duck Brewery,Los Angeles,2014
 Ventura Coast Brewing Company,Ventura,2017
 Verdugo West Brewing,Burbank,2017
 Viewpoint Brewing Company,Del Mar,2017
 W Brewing / 559 Brewing,Clovis,2013
 Waganupa Brewing,Chester,2016
 Waterman Brewing Company,Elk Grove,2017
 Wavelength Brewing Company,Vista,2014
 Westlake Brewing Company,Westlake Village,2016
 White Labs,San Diego,2012
 Wicks Brewing,Riverside,2013
 Wiens Brewing Company,Temecula,2012
 Wild Barrel Brewing Company,San Marcos,2017
 Wildcard Brewing Company,Redding ,2013
 Wiretap Brewing,Los Angeles,2017
 Wolf Creek Brewing Company,Valencia,1997
 Woodfour Brewing Company,Sebastopol,2013
 Woods Bar & Brewery,Oakland,2014
 Woody's Brewing Company,Redding,2015
 Working Man Brewing Company,Livermore,2013
" World Brews, Winery Exchange Inc.",Novato,2010
 Yolo Brewing Company,West Sacramento,2014
 Yorkshire Square Brewery,Torrance,2017
 Zona Rosa Brewing,Pasadena,2017
 Zymurgy Brew Works,Torrance,2017
