Brewery,Location,Est. Year
 Golden City Brewery,Golden,1993
 Goldspot Brewing Company,Denver,2015
 Good River Beer Company,Denver,2015
 Gore Range Brewery,Edwards,1997
 Grand Lake Brewing Co,Grand Lake,2004
 Grandma's House,Denver,2014
 Gravity Brewing,Louisville,2012
 Great Divide Brewing Company,Denver,1993
 Great Frontier Brewing Company,Lakewood,2015
 Great Storm Brewing,Colorado Springs,2012
 Green Earth Brewing Company,Greeley,2017
 Green Mountain Beer Company,Lakewood,2016
 Grimm Brothers Brewhouse,Loveland,2010
 Grist Brewing Company,Highlands Ranch,2014
 Großen Bart Brewery,Longmont,2015
 Guanella Pass Brewing Company,Georgetown,2017
 Gunbarrel Brewing Company,Boulder,2015
 Gunnison Brewery,Gunnison,2004
 Halfpenny Brewing Company,Centennial,2016
 Hall Brewing Company,Parker,2013
 Hardtail Brewing Company,Johnstown,2011
 Hideaway Park Brewery,Winter Park,2015
 High Alpine Brewing Company,Gunnison,2016
 High Hops Brewery,Windsor,2012
 Hogshead Brewery,Denver,2012
 Holidaily Brewing Company,Golden,2016
 Horse & Dragon Brewing Company,Fort Collins,2014
 Horsefly Brewing Company,Montrose,2009
 Idylwilde Brewing Company,Carbondale,2017
 Industrial Revolution Brewing,Erie,2013
 Intersect Brewing,Fort Collins,2016
 Iron Bird Brewing Company,Colorado Springs,2014
 Ironworks Brewery and Pub,Lakewood,1997
 Irwin Brewing Company,Crested Butte,2017
 J Wells Brewery,Boulder,2013
 J. Fargos Family Dining & Microbrewery,Cortez,2009
 Jagged Mountain Craft Brewery,Denver,2013
 JAKs Brewing Company,Peyton,2015
 James Peak Brewery & Smokehouse,Nederland,2017
 Jessup Farm Barrel House,Fort Collins,2016
 Joyride Brewing Company,Edgewater,2014
 Kannah Creek Brewing Company,Grand Junction,2005
 Kettle and Spoke Brewery,Boulder,2016
 Kokopelli Beer Company,Westminster,2013
 Krueger Brewing Company,Loveland,2016
 Lady Justice Brewing,Mountain View,2017
 LandLocked Ales,Lakewood,2017
 Lariat Lodge Brewing Company,Evergreen,2015
 Larimer Beer Company,Denver,2017
 Launch Pad Brewery,Aurora,2015
 Left Hand Brewing Company,Longmont,1993
 Leieritz Brewing Company (Three Daughters),Denver,2010
 Liquid Mechanics Brewing Company,Lafayette,2014
 Little Machine Beer,Denver,2015
 Living The Dream Brewing Company,Littleton,2014
 Local Relic,Colorado Springs,2016
 Locavore Beer Works,Littleton,2014
 Lone Tree Brewing Company,Lone Tree,2011
 Long Table Brewhouse,Denver,2018
 Lost Highway Brewing Company,Centennial,2013
 Loveland Aleworks,Loveland,2012
 LowDown Brewery + Kitchen,Denver,2014
 Lumpy Ridge Brewing Company,Estes Park,2015
 Mad Jack's Mountain Brewery,Bailey,2016
 Mahogany Ridge Brewery & Grille,Steamboat Springs,2003
 Mancos Brewing Company,Mancos,2014
 Manitou Brewing Company,Manitou Springs,2014
 Many Rivers Brewing Company,Grand Junction,2018
 Mash Lab Brewing,Windsor,2017
 Maxline Brewing,Fort Collins,2016
 McClellan's Brewing Company,Fort Collins,2016
 Mesa Cerveza / Main Street Brewing,Cortez,1995
 Mighty River Brewing Company,Windsor,2018
 Mockery Brewing,Denver,2014
 Moffat Station Restaurant & Brewery,Winter Park,2002
 Moonlight Pizza and Brewpub,Salida,2012
 Mother Tucker Brewery,Thornton,2017
 Mountain Sun Pub & Brewery,Boulder,2001
 Mountain Tap Brewery,Steamboat Springs,2016
 Mountain Toad Brewing,Golden,2013
 Mr Grumpy Pants Brewing Company @ Ourayle House,Ouray,2009
 Nano 108 Brewing Company,Colorado Springs,2013
 Never Summer Brewing Company,Granby,2016
 New Belgium Brewing Company,Fort Collins,1991
 New Image Brewing Company,Arvada,2016
 New Planet Beer Company,Boulder,2009
 New Terrain Brewing Company,Golden,2015
 Novel Strand Brewing Company,Denver,2018
 Oasis Brewing Company,Denver,2015
 Odd13 Brewing,Lafayette,2013
 Odell Brewing Company,Fort Collins,1989
 Odyssey Beerwerks,Arvada,2013
 Old Colorado Brewing Company,Wellington,2016
 Open Door Brewing Company,Boulder,2015
 Oskar Blues Brewery (FCP),Longmont,1997
 Our Mutual Friend Malt & Brew,Denver,2012
 Ouray Brewery,Ouray,2010
 Outer Range Brewing,Frisco,2017
 Pagosa Brewing Company,Pagosa Springs,2006
 Palisade Brewing Company,Palisade,2010
 Paradox Beer Company,Divide,2012
 Parts & Labor Brewing Company,Sterling,2017
 Pat's Backcountry Beverages,Golden,2015
 PDub Brewing Company,Pueblo West,2017
 Peak to Peak Tap and Brew,Aurora,2017
 Peaks N Pines Brewing Company,Colorado Springs,2015
 Periodic Brewing,Leadville,2016
 Phantom Canyon Brewing,Colorado Springs,2000
 Pikes Peak Brewing Company,Monument,2011
 Pilothouse Brewing Company,Aurora,2018
 Pints Pub Brewery & Freehouse,Denver,2002
 Platt Park Brewing Company,Denver,2014
 Primitive Beer,Longmont,2018
 Prost Brewing Company,Denver,2012
 Pug Ryans Steakhouse and Brewery,Dillon,1997
